timestamp,pr_long,pr_short,ta_long,ta_short,eg_long,eg_short,layer
2025-05-16 14:25:51.904426,0,70,0,0,0,0,2
2025-05-16 14:25:51.926763,0,70,180,0,0,0,2
2025-05-16 14:25:52.051699,0,70,180,0,35,0,2
2025-05-16 14:40:01.395455,0,0,180,0,35,0,-1
2025-05-16 14:40:01.417814,0,0,0,0,35,0,-1
2025-05-16 14:40:01.491645,0,0,0,0,0,0,-1
2025-05-19 09:15:22.562960,70,0,0,0,0,0,-2
2025-05-19 09:15:22.594991,70,0,0,180,0,0,-2
2025-05-19 09:15:22.670909,70,0,0,180,0,35,-2
2025-05-19 09:33:52.625551,140,0,0,180,0,35,-3
2025-05-19 09:33:52.654409,140,0,0,360,0,35,-3
2025-05-19 09:33:52.732694,140,0,0,360,0,70,-3
2025-05-19 09:47:08.118816,210,0,0,360,0,70,-4
2025-05-19 09:47:08.146194,210,0,0,540,0,70,-4
2025-05-19 09:47:08.184774,210,0,0,540,0,105,-4
2025-05-19 10:06:43.268205,140,0,0,540,0,105,-2
2025-05-19 10:06:43.528918,140,0,0,360,0,105,-2
2025-05-19 10:06:43.618421,140,0,0,360,0,70,-2
2025-05-19 13:31:08.821184,70,0,0,360,0,70,-1
2025-05-19 13:31:08.868007,70,0,0,180,0,70,-1
2025-05-19 13:31:08.988942,70,0,0,180,0,35,-1
2025-05-19 13:48:25.858343,0,0,0,180,0,35,1
2025-05-19 13:48:25.888499,0,0,0,0,0,35,1
2025-05-19 13:48:26.023127,0,0,0,0,0,0,1
2025-05-19 14:12:22.869377,70,0,0,0,0,0,-2
2025-05-19 14:12:22.925997,70,0,0,180,0,0,-2
2025-05-19 14:12:23.012547,70,0,0,180,0,35,-2
2025-05-21 11:26:39.815139,0,0,0,180,0,35,1
2025-05-21 11:26:39.846821,0,0,0,0,0,35,1
2025-05-21 11:26:40.001446,0,0,0,0,0,0,1
2025-05-21 14:41:25.011677,70,0,0,0,0,0,-2
2025-05-21 14:41:25.080322,70,0,0,180,0,0,-2
2025-05-21 14:41:25.180742,70,0,0,180,0,35,-2
2025-05-22 09:23:58.566256,0,0,0,180,0,35,1
2025-05-22 09:23:58.647269,0,0,0,0,0,35,1
2025-05-22 09:23:58.772352,0,0,0,0,0,0,1
2025-05-22 10:30:27.107508,70,0,0,0,0,0,-2
2025-05-22 10:30:27.268333,70,0,0,180,0,0,-2
2025-05-22 10:30:27.388247,70,0,0,180,0,35,-2
2025-05-22 11:27:34.145923,0,0,0,180,0,35,1
2025-05-22 11:27:34.178832,0,0,0,0,0,35,1
2025-05-22 11:27:34.263190,0,0,0,0,0,0,1
